User_ID,Device_Type,Location,Auth_Method,Subscription_Plan,Subscription_Type,Subscription_Price,Subscription_Start_Date,Tickets_Raised,Previous_Feedback,Active_Status
USER_0045,Smartphone,Metro_Station_Exit,WPA2-Enterprise,Basic,Monthly,9.99,2025-07-04 22:04:17.441232,0,Good,Active
USER_0046,Laptop,Gym_Lobby,WPA2-Enterprise,Family,Monthly,29.99,2025-06-19 22:04:17.441232,0,Good,Active
USER_0047,Smartphone,Shopping_Mall_Entrance,WPA2-Enterprise,Free,N/A,0.0,2026-03-12 22:04:17.441232,4,Poor,Active
USER_0048,Laptop,Food_Court_WiFi,Social Login,Premium,Monthly,19.99,2025-03-29 22:04:17.441232,0,Good,Inactive
USER_0049,Laptop,Food_Court_WiFi,Captive Portal,Basic,Yearly,9.99,2024-08-15 22:04:17.441232,0,Awesome,Active
USER_0050,Smartphone,Food_Court_WiFi,WPA2-Enterprise,Premium,Monthly,19.99,2025-10-15 22:04:17.441232,1,Average,Active
USER_0051,IoT Device,Gym_Lobby,Social Login,Free,N/A,0.0,2026-01-02 22:04:17.441232,0,Average,Active
USER_0052,Tablet,TechHub_Cafe,Social Login,Free,N/A,0.0,2024-11-06 22:04:17.441232,1,Average,Active
USER_0053,IoT Device,Main_Square_WiFi,Social Login,Business,Yearly,49.99,2025-07-24 22:04:17.441232,0,Awesome,Active
USER_0054,Smart TV,City_Library_Zone,OTP Verification,Free,N/A,0.0,2024-09-20 22:04:17.441232,0,Good,Active
USER_0055,Laptop,Central_Park_Bench,WPA2-Enterprise,Basic,Monthly,9.99,2026-01-18 22:04:17.441232,0,Good,Active
USER_0056,Smart TV,Innovation_Park_Gate,Social Login,Free,N/A,0.0,2025-04-28 22:04:17.441232,0,Awesome,Active
USER_0057,Smartphone,TechHub_Cafe,Captive Portal,Free,N/A,0.0,2026-04-06 22:04:17.441232,5,Leave to other provider,Inactive
USER_0058,Smartphone,Shopping_Mall_Entrance,Social Login,Free,N/A,0.0,2026-03-27 22:04:17.441232,1,Average,Active
USER_0059,Smartphone,Innovation_Park_Gate,Social Login,Free,N/A,0.0,2025-07-07 22:04:17.441232,5,Poor,Active
USER_0060,Smartphone,Food_Court_WiFi,Social Login,Family,Monthly,29.99,2026-02-13 22:04:17.441232,0,Awesome,Active
USER_0061,Smartphone,CoWorking_Space_A,Captive Portal,Free,N/A,0.0,2025-01-14 22:04:17.441232,3,Poor,Inactive
USER_0062,Smartphone,Shopping_Mall_Entrance,WPA2-Enterprise,Business,Monthly,49.99,2026-06-23 22:04:17.441232,3,Poor,Active
USER_0063,Tablet,Innovation_Park_Gate,Captive Portal,Premium,Monthly,19.99,2024-09-11 22:04:17.441232,0,Average,Active
USER_0064,Smartphone,Food_Court_WiFi,OTP Verification,Basic,Monthly,9.99,2024-08-17 22:04:17.441232,2,Average,Active
USER_0065,Smartphone,Innovation_Park_Gate,OTP Verification,Premium,Monthly,19.99,2026-05-10 22:04:17.441232,4,Poor,Inactive
USER_0066,Laptop,CoWorking_Space_A,WPA2-Enterprise,Basic,Monthly,9.99,2025-02-20 22:04:17.441232,0,Good,Active
USER_0067,Smartphone,Food_Court_WiFi,WPA2-Enterprise,Family,Yearly,29.99,2025-04-24 22:04:17.441232,0,Good,Active
USER_0068,Tablet,Main_Square_WiFi,WPA2-Enterprise,Free,N/A,0.0,2024-09-21 22:04:17.441232,5,Poor,Active
USER_0069,Smartphone,TechHub_Cafe,Social Login,Basic,Monthly,9.99,2025-02-25 22:04:17.441232,0,Awesome,Active
USER_0070,IoT Device,Metro_Station_Exit,Social Login,Family,Yearly,29.99,2024-10-13 22:04:17.441232,6,Poor,Inactive
USER_0071,Tablet,Central_Park_Bench,WPA2-Enterprise,Business,Monthly,49.99,2025-07-26 22:04:17.441232,8,Leave to other provider,Inactive
USER_0072,Smartphone,Gym_Lobby,Captive Portal,Family,Monthly,29.99,2025-04-12 22:04:17.441232,0,Awesome,Active
USER_0073,Smartphone,Central_Park_Bench,Social Login,Basic,Monthly,9.99,2025-10-09 22:04:17.441232,0,Good,Active
USER_0074,Tablet,Shopping_Mall_Entrance,Social Login,Family,Monthly,29.99,2026-04-13 22:04:17.441232,3,Poor,Active
USER_0075,Laptop,Central_Park_Bench,Captive Portal,Basic,Yearly,9.99,2025-07-10 22:04:17.441232,0,Average,Active
USER_0076,Laptop,Food_Court_WiFi,Captive Portal,Basic,Monthly,9.99,2024-12-15 22:04:17.441232,0,Average,Active
USER_0077,Tablet,Main_Square_WiFi,Captive Portal,Free,N/A,0.0,2025-07-16 22:04:17.441232,6,Leave to other provider,Inactive
USER_0078,Smartphone,Metro_Station_Exit,WPA2-Enterprise,Premium,Monthly,19.99,2025-06-30 22:04:17.441232,0,Good,Active
USER_0079,Smartphone,TechHub_Cafe,Captive Portal,Free,N/A,0.0,2025-02-01 22:04:17.441232,0,Good,Inactive
USER_0080,Smartphone,TechHub_Cafe,Captive Portal,Basic,Monthly,9.99,2026-05-19 22:04:17.441232,0,Average,Inactive
USER_0081,Smart TV,CoWorking_Space_A,Social Login,Family,Monthly,29.99,2025-04-01 22:04:17.441232,6,Poor,Inactive
USER_0082,Laptop,Gym_Lobby,Captive Portal,Free,N/A,0.0,2026-06-20 22:04:17.441232,5,Poor,Inactive
USER_0083,Smartphone,Innovation_Park_Gate,Social Login,Free,N/A,0.0,2026-06-01 22:04:17.441232,6,Poor,Inactive
USER_0084,Smartphone,Main_Square_WiFi,WPA2-Enterprise,Free,N/A,0.0,2026-04-26 22:04:17.441232,1,Good,Active
USER_0085,Smartphone,Innovation_Park_Gate,Captive Portal,Business,Monthly,49.99,2024-09-13 22:04:17.441232,0,Awesome,Active
USER_0086,Smartphone,Metro_Station_Exit,WPA2-Enterprise,Basic,Yearly,9.99,2026-03-17 22:04:17.441232,0,Awesome,Active
USER_0087,Laptop,Central_Park_Bench,WPA2-Enterprise,Basic,Yearly,9.99,2026-04-13 22:04:17.441232,0,Good,Active
USER_0088,Laptop,TechHub_Cafe,Social Login,Family,Monthly,29.99,2024-12-24 22:04:17.441232,1,Good,Active
USER_0089,Smart TV,Metro_Station_Exit,OTP Verification,Family,Monthly,29.99,2025-12-30 22:04:17.441232,0,Average,Active
USER_0090,Smartphone,Central_Park_Bench,WPA2-Enterprise,Basic,Monthly,9.99,2025-03-09 22:04:17.441232,7,Leave to other provider,Inactive
USER_0091,Smartphone,TechHub_Cafe,Captive Portal,Premium,Monthly,19.99,2024-12-16 22:04:17.441232,0,Awesome,Active
USER_0092,Laptop,Central_Park_Bench,Social Login,Family,Monthly,29.99,2025-10-18 22:04:17.441232,4,Poor,Active
USER_0093,Tablet,Gym_Lobby,WPA2-Enterprise,Premium,Monthly,19.99,2025-07-25 22:04:17.441232,1,Good,Active
USER_0094,Laptop,Main_Square_WiFi,Captive Portal,Free,N/A,0.0,2025-04-04 22:04:17.441232,3,Poor,Inactive
USER_0095,Tablet,Shopping_Mall_Entrance,Social Login,Family,Monthly,29.99,2026-04-18 22:04:17.441232,0,Awesome,Active
USER_0096,Smartphone,Metro_Station_Exit,Captive Portal,Basic,Monthly,9.99,2026-06-06 22:04:17.441232,0,Awesome,Active
USER_0097,Laptop,Metro_Station_Exit,WPA2-Enterprise,Free,N/A,0.0,2026-01-23 22:04:17.441232,6,Leave to other provider,Inactive
USER_0098,Smartphone,City_Library_Zone,WPA2-Enterprise,Basic,Monthly,9.99,2025-02-11 22:04:17.441232,1,Good,Active
USER_0099,Smartphone,Food_Court_WiFi,Social Login,Free,N/A,0.0,2026-06-03 22:04:17.441232,0,Average,Inactive
USER_0100,Smartphone,Gym_Lobby,Captive Portal,Free,N/A,0.0,2025-05-30 22:04:17.441232,5,Poor,Inactive
USER_0101,Smartphone,Gym_Lobby,WPA2-Enterprise,Family,Monthly,29.99,2024-08-28 22:04:17.441232,0,Awesome,Active
USER_0102,Laptop,Innovation_Park_Gate,Social Login,Free,N/A,0.0,2025-02-21 22:04:17.441232,5,Poor,Active
USER_0103,Smartphone,Central_Park_Bench,WPA2-Enterprise,Basic,Monthly,9.99,2024-08-03 22:04:17.441232,2,Average,Active
USER_0104,Laptop,Food_Court_WiFi,Social Login,Basic,Monthly,9.99,2025-05-21 22:04:17.441232,1,Good,Active
USER_0105,Smart TV,Main_Square_WiFi,WPA2-Enterprise,Free,N/A,0.0,2025-08-16 22:04:17.441232,1,Good,Inactive
USER_0106,Smartphone,Main_Square_WiFi,OTP Verification,Business,Yearly,49.99,2025-04-02 22:04:17.441232,0,Awesome,Active
USER_0107,Smartphone,Gym_Lobby,WPA2-Enterprise,Free,N/A,0.0,2024-09-07 22:04:17.441232,3,Poor,Inactive
USER_0108,Tablet,Main_Square_WiFi,WPA2-Enterprise,Basic,Monthly,9.99,2025-02-03 22:04:17.441232,0,Awesome,Active
USER_0109,Smartphone,City_Library_Zone,WPA2-Enterprise,Basic,Monthly,9.99,2026-02-02 22:04:17.441232,2,Average,Active
USER_0110,Smartphone,Metro_Station_Exit,WPA2-Enterprise,Free,N/A,0.0,2025-05-20 22:04:17.441232,0,Awesome,Active
USER_0111,Smartphone,CoWorking_Space_A,Social Login,Free,N/A,0.0,2025-02-04 22:04:17.441232,0,Good,Active
USER_0112,Smartphone,Shopping_Mall_Entrance,OTP Verification,Premium,Monthly,19.99,2026-05-04 22:04:17.441232,1,Average,Active
USER_0113,Smart TV,Innovation_Park_Gate,WPA2-Enterprise,Business,Yearly,49.99,2025-11-25 22:04:17.441232,0,Awesome,Active
USER_0114,Tablet,Central_Park_Bench,Captive Portal,Free,N/A,0.0,2025-08-11 22:04:17.441232,5,Leave to other provider,Inactive
USER_0115,Laptop,Shopping_Mall_Entrance,Social Login,Premium,Monthly,19.99,2026-04-21 22:04:17.441232,0,Good,Active
USER_0116,Smart TV,Central_Park_Bench,Social Login,Premium,Monthly,19.99,2025-10-14 22:04:17.441232,0,Awesome,Active
USER_0117,Tablet,TechHub_Cafe,Captive Portal,Family,Monthly,29.99,2024-11-25 22:04:17.441232,6,Poor,Inactive
USER_0118,Smartphone,Shopping_Mall_Entrance,WPA2-Enterprise,Basic,Yearly,9.99,2025-03-30 22:04:17.441232,6,Poor,Active
USER_0119,Smart TV,CoWorking_Space_A,Captive Portal,Basic,Yearly,9.99,2024-11-21 22:04:17.441232,1,Average,Active
USER_0120,Laptop,Gym_Lobby,Captive Portal,Basic,Monthly,9.99,2025-03-11 22:04:17.441232,5,Leave to other provider,Inactive
USER_0121,Tablet,City_Library_Zone,WPA2-Enterprise,Premium,Yearly,19.99,2026-01-27 22:04:17.441232,0,Good,Active
USER_0122,Smart TV,Metro_Station_Exit,Captive Portal,Family,Yearly,29.99,2026-01-04 22:04:17.441232,1,Good,Active
USER_0123,Smartphone,Metro_Station_Exit,WPA2-Enterprise,Free,N/A,0.0,2025-03-28 22:04:17.441232,1,Average,Inactive
USER_0124,Smartphone,City_Library_Zone,Social Login,Basic,Yearly,9.99,2026-02-20 22:04:17.441232,0,Good,Active
USER_0125,Smartphone,Food_Court_WiFi,WPA2-Enterprise,Business,Monthly,49.99,2025-09-13 22:04:17.441232,0,Good,Active
USER_0126,Smartphone,TechHub_Cafe,Captive Portal,Family,Monthly,29.99,2026-02-19 22:04:17.441232,1,Average,Active
USER_0127,Tablet,Central_Park_Bench,Captive Portal,Business,Monthly,49.99,2025-08-14 22:04:17.441232,0,Good,Active
USER_0128,Smart TV,CoWorking_Space_A,Captive Portal,Family,Yearly,29.99,2025-07-07 22:04:17.441232,6,Poor,Inactive
USER_0129,Smartphone,Main_Square_WiFi,WPA2-Enterprise,Basic,Monthly,9.99,2025-02-11 22:04:17.441232,5,Poor,Inactive
USER_0130,Laptop,Shopping_Mall_Entrance,Captive Portal,Premium,Monthly,19.99,2024-11-20 22:04:17.441232,0,Good,Active
USER_0131,Smartphone,TechHub_Cafe,Captive Portal,Premium,Monthly,19.99,2025-12-05 22:04:17.441232,4,Poor,Active
USER_0132,Smartphone,Shopping_Mall_Entrance,Captive Portal,Free,N/A,0.0,2025-11-19 22:04:17.441232,5,Leave to other provider,Inactive
USER_0133,Smartphone,CoWorking_Space_A,Captive Portal,Basic,Yearly,9.99,2024-10-03 22:04:17.441232,0,Awesome,Active
USER_0134,Smartphone,Innovation_Park_Gate,Captive Portal,Premium,Yearly,19.99,2024-08-19 22:04:17.441232,2,Average,Active
USER_0135,IoT Device,Innovation_Park_Gate,Social Login,Free,N/A,0.0,2024-10-22 22:04:17.441232,4,Poor,Inactive
USER_0136,Smartphone,TechHub_Cafe,WPA2-Enterprise,Family,Monthly,29.99,2024-12-05 22:04:17.441232,4,Poor,Active
USER_0137,Laptop,Gym_Lobby,Social Login,Premium,Yearly,19.99,2026-04-05 22:04:17.441232,0,Awesome,Active
USER_0138,Laptop,CoWorking_Space_A,Captive Portal,Business,Monthly,49.99,2024-12-12 22:04:17.441232,0,Good,Active
USER_0139,Smartphone,CoWorking_Space_A,WPA2-Enterprise,Free,N/A,0.0,2026-05-29 22:04:17.441232,5,Poor,Inactive
USER_0140,IoT Device,City_Library_Zone,WPA2-Enterprise,Free,N/A,0.0,2025-09-07 22:04:17.441232,5,Poor,Active
USER_0141,IoT Device,Gym_Lobby,WPA2-Enterprise,Premium,Yearly,19.99,2026-03-04 22:04:17.441232,1,Good,Active
USER_0142,Smartphone,Central_Park_Bench,Social Login,Free,N/A,0.0,2024-09-05 22:04:17.441232,0,Average,Active
USER_0143,Smartphone,Central_Park_Bench,Social Login,Premium,Monthly,19.99,2025-07-31 22:04:17.441232,0,Good,Active
USER_0144,Smartphone,Main_Square_WiFi,Social Login,Family,Monthly,29.99,2025-07-27 22:04:17.441232,3,Poor,Active
USER_0145,Smartphone,Metro_Station_Exit,Captive Portal,Free,N/A,0.0,2026-03-04 22:04:17.441232,7,Leave to other provider,Inactive
USER_0146,Smartphone,Innovation_Park_Gate,Captive Portal,Basic,Yearly,9.99,2025-10-24 22:04:17.441232,0,Average,Active
USER_0147,Laptop,Central_Park_Bench,WPA2-Enterprise,Basic,Monthly,9.99,2025-12-25 22:04:17.441232,7,Leave to other provider,Inactive
USER_0148,Laptop,Gym_Lobby,WPA2-Enterprise,Basic,Yearly,9.99,2025-03-16 22:04:17.441232,1,Good,Active
USER_0149,Smartphone,CoWorking_Space_A,Captive Portal,Business,Monthly,49.99,2026-01-19 22:04:17.441232,0,Awesome,Inactive
USER_0150,Smartphone,Central_Park_Bench,WPA2-Enterprise,Family,Monthly,29.99,2024-07-13 22:04:17.441232,0,Awesome,Active
USER_0151,Smart TV,CoWorking_Space_A,WPA2-Enterprise,Premium,Monthly,19.99,2026-05-29 22:04:17.441232,6,Poor,Inactive
USER_0152,Smartphone,Central_Park_Bench,Captive Portal,Premium,Monthly,19.99,2024-10-27 22:04:17.441232,4,Poor,Inactive
USER_0153,Smartphone,Innovation_Park_Gate,Social Login,Basic,Monthly,9.99,2026-05-31 22:04:17.441232,0,Good,Active
USER_0154,Smartphone,Shopping_Mall_Entrance,OTP Verification,Business,Monthly,49.99,2026-01-02 22:04:17.441232,3,Poor,Active
USER_0155,IoT Device,Central_Park_Bench,OTP Verification,Premium,Monthly,19.99,2025-04-01 22:04:17.441232,1,Average,Active
USER_0156,Smartphone,Gym_Lobby,Captive Portal,Premium,Monthly,19.99,2026-04-19 22:04:17.441232,0,Awesome,Active
USER_0157,Laptop,Central_Park_Bench,Captive Portal,Family,Yearly,29.99,2025-06-15 22:04:17.441232,0,Awesome,Active
USER_0158,Tablet,Metro_Station_Exit,Captive Portal,Free,N/A,0.0,2024-10-24 22:04:17.441232,6,Poor,Inactive
USER_0159,Smartphone,Innovation_Park_Gate,Social Login,Family,Yearly,29.99,2025-04-28 22:04:17.441232,0,Good,Active
USER_0160,Laptop,Gym_Lobby,WPA2-Enterprise,Free,N/A,0.0,2025-09-20 22:04:17.441232,6,Leave to other provider,Inactive
USER_0161,Smartphone,City_Library_Zone,Captive Portal,Basic,Monthly,9.99,2024-12-10 22:04:17.441232,2,Average,Active
USER_0162,Laptop,Gym_Lobby,Social Login,Basic,Yearly,9.99,2025-10-09 22:04:17.441232,2,Average,Active
USER_0163,Laptop,Metro_Station_Exit,WPA2-Enterprise,Business,Monthly,49.99,2024-07-05 22:04:17.441232,0,Awesome,Active
USER_0164,Laptop,Shopping_Mall_Entrance,Captive Portal,Family,Monthly,29.99,2025-03-28 22:04:17.441232,0,Good,Inactive
USER_0165,Smartphone,Innovation_Park_Gate,Captive Portal,Premium,Yearly,19.99,2025-11-26 22:04:17.441232,4,Poor,Inactive
USER_0166,Tablet,City_Library_Zone,WPA2-Enterprise,Premium,Yearly,19.99,2024-12-31 22:04:17.441232,0,Good,Active
USER_0167,Smartphone,Metro_Station_Exit,WPA2-Enterprise,Premium,Monthly,19.99,2025-12-03 22:04:17.441232,0,Average,Active
USER_0168,Smartphone,Metro_Station_Exit,WPA2-Enterprise,Business,Yearly,49.99,2024-10-18 22:04:17.441232,0,Awesome,Active
USER_0169,Smartphone,TechHub_Cafe,WPA2-Enterprise,Basic,Monthly,9.99,2026-04-03 22:04:17.441232,1,Good,Active
USER_0170,Laptop,Innovation_Park_Gate,WPA2-Enterprise,Basic,Yearly,9.99,2025-05-03 22:04:17.441232,2,Average,Active
USER_0171,Laptop,Gym_Lobby,Social Login,Free,N/A,0.0,2026-04-17 22:04:17.441232,5,Poor,Active
USER_0172,Smartphone,CoWorking_Space_A,WPA2-Enterprise,Family,Monthly,29.99,2025-12-03 22:04:17.441232,0,Good,Active
USER_0173,Laptop,Shopping_Mall_Entrance,Captive Portal,Premium,Monthly,19.99,2026-03-17 22:04:17.441232,0,Awesome,Active
USER_0174,Smartphone,CoWorking_Space_A,WPA2-Enterprise,Basic,Monthly,9.99,2025-01-21 22:04:17.441232,1,Good,Active
USER_0175,Laptop,Gym_Lobby,OTP Verification,Free,N/A,0.0,2024-12-05 22:04:17.441232,6,Leave to other provider,Inactive
USER_0176,Smartphone,Gym_Lobby,WPA2-Enterprise,Family,Monthly,29.99,2025-07-19 22:04:17.441232,4,Poor,Inactive
USER_0177,Laptop,Innovation_Park_Gate,Captive Portal,Free,N/A,0.0,2024-12-14 22:04:17.441232,4,Poor,Active
USER_0178,Smartphone,Gym_Lobby,Social Login,Premium,Monthly,19.99,2026-01-05 22:04:17.441232,0,Average,Active
USER_0179,IoT Device,TechHub_Cafe,Social Login,Business,Yearly,49.99,2025-12-27 22:04:17.441232,0,Awesome,Active
USER_0180,Smartphone,City_Library_Zone,WPA2-Enterprise,Basic,Monthly,9.99,2024-07-02 22:04:17.441232,0,Awesome,Inactive
USER_0181,Smartphone,Gym_Lobby,Social Login,Free,N/A,0.0,2026-03-07 22:04:17.441232,5,Poor,Inactive
USER_0182,Smartphone,CoWorking_Space_A,Captive Portal,Premium,Monthly,19.99,2025-05-29 22:04:17.441232,0,Good,Active
USER_0183,Smart TV,Gym_Lobby,Captive Portal,Family,Monthly,29.99,2025-11-14 22:04:17.441232,3,Poor,Inactive
USER_0184,Smart TV,TechHub_Cafe,WPA2-Enterprise,Basic,Monthly,9.99,2024-07-21 22:04:17.441232,0,Awesome,Active
USER_0185,Smartphone,Central_Park_Bench,WPA2-Enterprise,Business,Monthly,49.99,2024-10-24 22:04:17.441232,0,Good,Inactive
USER_0186,Laptop,Central_Park_Bench,Social Login,Free,N/A,0.0,2025-07-08 22:04:17.441232,0,Awesome,Active
USER_0187,Tablet,Metro_Station_Exit,Captive Portal,Basic,Monthly,9.99,2025-05-12 22:04:17.441232,3,Poor,Active
USER_0188,Laptop,Shopping_Mall_Entrance,Captive Portal,Premium,Monthly,19.99,2025-03-04 22:04:17.441232,0,Average,Inactive
USER_0189,Laptop,Main_Square_WiFi,Social Login,Family,Monthly,29.99,2024-08-30 22:04:17.441232,7,Leave to other provider,Inactive
USER_0190,Smartphone,City_Library_Zone,Social Login,Free,N/A,0.0,2025-03-05 22:04:17.441232,6,Poor,Active
USER_0191,Smartphone,Food_Court_WiFi,WPA2-Enterprise,Family,Monthly,29.99,2026-02-02 22:04:17.441232,0,Awesome,Active
USER_0192,Smart TV,Metro_Station_Exit,Captive Portal,Premium,Yearly,19.99,2024-09-20 22:04:17.441232,0,Good,Active
USER_0193,Smart TV,Shopping_Mall_Entrance,WPA2-Enterprise,Basic,Yearly,9.99,2024-09-27 22:04:17.441232,0,Average,Active
USER_0194,Laptop,Central_Park_Bench,Social Login,Free,N/A,0.0,2025-11-11 22:04:17.441232,7,Leave to other provider,Inactive
USER_0195,Smartphone,CoWorking_Space_A,Captive Portal,Family,Monthly,29.99,2024-09-10 22:04:17.441232,1,Good,Active
USER_0196,Smartphone,Food_Court_WiFi,OTP Verification,Free,N/A,0.0,2025-12-29 22:04:17.441232,4,Poor,Active
USER_0197,Laptop,Shopping_Mall_Entrance,WPA2-Enterprise,Basic,Monthly,9.99,2024-11-07 22:04:17.441232,0,Good,Active
USER_0198,Smart TV,Shopping_Mall_Entrance,WPA2-Enterprise,Free,N/A,0.0,2024-11-10 22:04:17.441232,1,Average,Inactive
USER_0199,Smart TV,Metro_Station_Exit,WPA2-Enterprise,Family,Monthly,29.99,2026-05-08 22:04:17.441232,0,Average,Active
USER_0200,Tablet,Food_Court_WiFi,WPA2-Enterprise,Premium,Monthly,19.99,2025-10-31 22:04:17.441232,0,Good,Active
USER_0201,Laptop,Innovation_Park_Gate,WPA2-Enterprise,Family,Monthly,29.99,2026-01-15 22:04:17.441232,7,Leave to other provider,Inactive
USER_0202,Smartphone,Main_Square_WiFi,OTP Verification,Free,N/A,0.0,2024-12-18 22:04:17.441232,0,Awesome,Active
